Project Name,Package Name,Architecture Smell,Cause of the Smell
sweethome3d-5.6,com.eteks.sweethome3d.applet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppletApplication; AppletContentManager; AppletUserPreferences; HomeAppletController; HomeAppletRecorder; LengthOutputStream]; [AppletFurnitureTable]; [StandaloneServiceManager; AppletBasicService]; [SweetHome3DApplet]; [SweetHome3DViewer]; [ViewerHelper]. LCC (Lack of Component Cohesion) = 0.5
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.tools; com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.swing; com.eteks.sweethome3d.model.
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.swing; com.eteks.sweethome3d.model; com.eteks.sweethome3d.io; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.67. All the dependencies among components: from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.io to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.io to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d.tools to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.viewcontroller to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.viewcontroller to: com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HomeFrameController; HomeFramePane; LanguageChangeListener; MacOSXConfiguration; SweetHome3D; FileContentManagerWithRecordedLastDirectories; StandaloneSingleInstanceService]; [StandaloneServiceManager]; [StandaloneBasicService]; [SweetHome3DBootstrap]. LCC (Lack of Component Cohesion) = 0.4
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.tools; com.eteks.sweethome3d.swing.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller; com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.plugin; com.eteks.sweethome3d.model.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.io.
sweethome3d-5.6,com.eteks.sweethome3d.io,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
sweethome3d-5.6,com.eteks.sweethome3d.io,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d.j3d,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 51
sweethome3d-5.6,com.eteks.sweethome3d.model,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 89
sweethome3d-5.6,com.eteks.sweethome3d.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AspectRatio; HomeEnvironment; DrawingMode; HomeTexture; Room; Selectable; TextStyle; TextureImage; UserPreferences; PrefixedResourceBundle; Wall; BackgroundImage; Content; Home; HomeApplication; HomeDescriptor; HomeFurnitureGroup; LocationAndSizeChangeListener; HomePieceOfFurniture; SortableProperty; HomePrint; PaperOrientation; HomeRecorder; Label; Level; ObserverCamera; PieceOfFurniture; Polyline; CapStyle; JoinStyle; ArrowStyle; DashStyle; RecorderException; SelectionEvent; SelectionListener; Baseboard; Camera; Lens; Property; Compass; GeographicPoint; DimensionLine; Elevatable; HomeLight; HomeObject; Light; CatalogDoorOrWindow; CatalogPieceOfFurniture; DoorOrWindow; FurnitureCatalog; FurnitureCategory; HomeDoorOrWindow; CatalogItem; CatalogTexture; TexturesCatalog; TexturesCategory; CatalogLight; CollectionChangeSupport; CollectionEvent; Type; CollectionListener; DamagedHomeRecorderException; HomeMaterial; InterruptedRecorderException; LengthUnit; NotEnoughSpaceRecorderException; PatternsCatalog]; [Property]; [Property]; [Property]; [Property]; [Property]; [Property]; [Type]; [IllegalHomonymException]; [Property]; [InchDecimalsFormat]; [MeterFamilyFormat]; [SquareMeterAreaFormatWithUnit]; [SquareFootAreaFormatWithUnit]; [Property]; [Library]; [LightSource]; [Property]; [Property]; [Property]; [Sash]; [Property]; [Property]. LCC (Lack of Component Cohesion) = 0.26
sweethome3d-5.6,com.eteks.sweethome3d.plugin,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HomePluginController; PluginManager; PluginLibrary; Plugin]; [PluginAction; Property]. LCC (Lack of Component Cohesion) = 0.33
sweethome3d-5.6,com.eteks.sweethome3d.plugin,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.swing,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 184
sweethome3d-5.6,com.eteks.sweethome3d.swing,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoCommitSpinner; CompassPanel; NullableSpinner; NullableSpinnerNumberModel; NullableSpinnerModuloNumberModel; NullableSpinnerLengthModel; ObserverCameraPanel; PageSetupPanel; PhotoSizeAndQualityPanel; LanguageChangeListener; PhotosPanel; LanguageChangeListener; PolylinePanel; ArrowsStyle; ScaledImageComponent; SwingTools; SelectionOnFocusManager; BrowserSupport; TextureChoiceComponent; TexturePanel; TextureIcon; TexturesCatalogListener; TexturesCatalogListModel; TexturesCatalogListener; UserPreferencesPanel; SupportedLanguagesChangeListener; SpinnerLengthModel; AutoCommitLengthSpinner; VideoPanel; LanguageChangeListener; ImageDataSource; ImageSourceStream; FrameGenerator; PhotoImageGenerator; Image3DGenerator; WallPanel; SpinnerModuloNumberModel; AutoCompleteTextField; HomeFurniturePanel; LabelPanel; LevelPanel; NullableCheckBox; RoomPanel; BackgroundImageWizardStepsPanel; ScaleImagePreviewComponent; ActionType; OriginImagePreviewComponent; HelpPane; LanguageChangeListener; HomeComponent3D; JCanvas3DWithNavigationPanel; NavigationPanelChangeListener; CameraInterpolator; PhotoPanel; LanguageChangeListener; PlanComponent; PaintMode; IndicatorType; UserPreferencesChangeListener; SVGSupport; PlanRulerComponent; PieceOfFurnitureTopViewIcon; PieceOfFurniturePlanIcon; PieceOfFurnitureModelIcon; PrintPreviewPanel; ProportionalLayout; Constraints; ResourceAction; LanguageChangeListener; BaseboardChoiceComponent; ColorButton; PalettesColorChooserPanel; GrayColorChart; ColorChart; PaletteComboBox; ColorCode; RecentColorsPanel; Home3DAttributesPanel; ImportedFurnitureWizardStepsPanel; AutoRepeatButton; RotationPreviewComponent; AttributesPreviewComponent; IconPreviewComponent; ModelMaterialsComponent; ModelMaterialsPanel; MaterialsListModel; MaterialBlinker; ModelPreviewComponent; JCanvas3DWithNotifiedPaint; CatalogItemToolTip; DisplayedInformation; FurnitureCatalogListPanel; PreferencesChangeListener; FurnitureCatalogListModel; FurnitureCatalogListener; FurnitureCatalogTree; ControllerAction; HomePane; MenuActionType; LanguageChangeListener; FocusCycleRootChangeListener; FocusOwnerChangeListener; FurnitureCatalogViewChangeListener; RulersVisibilityChangeListener; MouseAndFocusListener; OBJExporter; HomePrintableComponent; HomeTransferableList; IconManager; IconProxy; MaterialListCellRenderer; PlanTransferHandler; ToolBarAction; UnfocusableToolBar; FileContentManager; DirectoryChooser; DirectoryNode; FontNameComboBox; CatalogCellRenderer; FurnitureCatalogTransferHandler; VisualTransferHandler; DragGestureRecognizerWithVisualRepresentation; CatalogCellRenderer; FurnitureTable; UserPreferencesChangeListener; RunnableContext; PanelWithInformationIcon; FurnitureTreeTableModel; FurnitureFilter; FurnitureTableColumnModel; LanguageChangeListener; TreeTableNameCellRenderer; FurnitureTransferHandler; LocatedTransferHandler; ActionAdapter; HomePDFPrinter; Variable; AbstractModelPreviewComponent; ImportedTextureWizardStepsPanel; MultipleLevelsPlanPanel; LanguageChangeListener; AbstractDecoratedAction; MenuItemAction; PopupMenuItemAction; ButtonAction]; [AutoCompleteDocument]; [CatalogTreeModel; CatalogFurnitureListener]; [SizeRenderer]; [PriceRenderer]; [BooleanRenderer]; [ActionType]; [ActionType]; [NavigationButton]; [MoveCameraAction]; [MoveCameraSidewaysAction]; [ElevateCameraAction]; [RotateCameraYawAction]; [RotateCameraPitchAction]; [SelectableFormat]; [PopupMenuListenerWithMouseLocation]; [InterruptedPrinterException]; [JPEGImagesToVideo]; [LevelsTableModel]; [LevelLabel]; [NullableSpinnerDateModel]; [ActionType]; [ActionType]; [CamerasListModel]; [ActionType]; [MoveSelectionAction]; [ToggleMagnetismAction]; [SetAlignmentActivatedAction]; [SetDuplicationActivatedAction]; [SetEditionActivatedAction]; [ActionType]; [HigherInsetsButton]; [MenuItemsVisibilityListener]; [SwingViewFactory]; [TextureListCellRenderer]; [ThreadedTaskPanel]; [ActionType]; [DragListenerWithVisualRepresentation]; [WizardPane]. LCC (Lack of Component Cohesion) = 0.21
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.tools; com.eteks.sweethome3d.viewcontroller; com.eteks.sweethome3d.model.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.tools; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.j3d; com.eteks.sweethome3d.tools; com.eteks.sweethome3d.model.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.j3d.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.j3d; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.viewcontroller; com.eteks.sweethome3d.j3d; com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.viewcontroller; com.eteks.sweethome3d.j3d.
sweethome3d-5.6,com.eteks.sweethome3d.swing,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.viewcontroller; com.eteks.sweethome3d.model; com.eteks.sweethome3d.tools; com.eteks.sweethome3d.j3d.
sweethome3d-5.6,com.eteks.sweethome3d.tools,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExtensionsClassLoader]; [OperatingSystem; MacOSXFileManager; TemporaryURLContent; URLContent; ResourceURLContent; SimpleURLContent]. LCC (Lack of Component Cohesion) = 0.29
sweethome3d-5.6,com.eteks.sweethome3d.viewcontroller,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 203
